subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,15,seed15_solution095,30.434782608695656,0.0603751012717692,0.7642988929889298,30.61984126984127,0.3145911698213786,9,0,8,True,False,False,False
daytrader,15,seed15_solution096,19.565217391304344,0.0316216844133386,0.7813653136531366,11.82116402116402,0.258703947184945,9,0,8,True,False,False,False
daytrader,15,seed15_solution097,19.565217391304344,0.0211964365953622,0.7952029520295203,30.09021164021164,0.3042361414452282,9,0,8,True,False,False,False
daytrader,15,seed15_solution098,21.73913043478261,-0.0190997280129627,0.830719557195572,10.701190476190476,0.2394071234047079,10,0,8,True,False,False,False
daytrader,15,seed15_solution099,23.913043478260864,-0.0404058402322953,0.8745387453874539,2.1235449735449734,0.1485661863021096,9,0,8,True,False,False,False
daytrader,16,seed16_solution000,28.26086956521739,0.1012730457101619,0.169280442804428,3.327380952380952,1.340154026949416,14,3,21,True,False,False,False
daytrader,16,seed16_solution001,28.26086956521739,0.1005129755518035,0.1761992619926199,3.854061624649861,1.4837436416103773,17,6,21,True,True,False,False
daytrader,16,seed16_solution002,28.26086956521739,0.1004623396672158,0.1761992619926199,3.782440476190476,1.4308556218601365,16,5,21,True,False,False,False
daytrader,16,seed16_solution003,28.26086956521739,0.0996251455249792,0.1771217712177121,4.05327380952381,1.4268692498531796,16,5,21,True,False,False,False
daytrader,16,seed16_solution004,26.086956521739136,0.0980966013534674,0.1785055350553505,4.345714285714285,1.3626769875673803,15,3,21,True,False,False,False
daytrader,16,seed16_solution005,28.26086956521739,0.0905155796830108,0.1808118081180811,3.306122448979592,1.3176513405221353,14,2,21,True,False,False,False
daytrader,16,seed16_solution006,28.26086956521739,0.0949330287237374,0.1817343173431734,4.101269841269842,1.3587525952746289,15,2,21,True,False,False,False
daytrader,16,seed16_solution007,26.086956521739136,0.0933908681798995,0.1895756457564575,2.993832796276405,1.263587596245526,14,2,20,True,False,False,False
daytrader,16,seed16_solution008,23.913043478260864,0.0822924609550523,0.1909594095940959,2.1559523809523813,1.1672217228846444,12,2,21,True,False,False,False
daytrader,16,seed16_solution009,28.26086956521739,0.0842287516509852,0.1937269372693727,4.339455782312925,1.2831575951637213,14,1,21,True,False,False,False
daytrader,16,seed16_solution010,28.26086956521739,0.0887916192930379,0.195110701107011,2.332090643274854,1.137565305281725,12,2,20,True,False,False,False
