subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
xerces,org.apache.xerces.dom.DeferredDocumentTypeImpl,40,13,39,4,0,6,59,0.325,0.975,0.15,0.15345903367900005,0.6666666666666666,5,0.33333333333333337,5,2,0.4
xerces,org.apache.xerces.dom.DeferredElementDefinitionImpl,24,13,19,0,0,0,19,0.5416666666666666,0.7916666666666666,0.0,0.13958526507900004,1.0,5,0.0,5,1,0.2
xerces,org.apache.xerces.dom.DeferredElementImpl,20,12,19,0,0,0,16,0.6,0.95,0.0,0.14942214567699996,1.0,11,0.0,11,2,0.18181818181818182
xerces,org.apache.xerces.dom.DeferredElementNSImpl,24,12,36,0,0,0,44,0.5,1.5,0.0,0.11687959762099998,1.0,4,0.0,4,1,0.25
xerces,org.apache.xerces.dom.DeferredEntityImpl,27,13,28,0,0,0,20,0.48148148148148145,1.037037037037037,0.0,0.14641436762100002,1.0,8,0.0,8,3,0.375
xerces,org.apache.xerces.dom.DeferredEntityReferenceImpl,21,13,15,0,0,0,10,0.6190476190476191,0.7142857142857143,0.0,0.127783184788,0.6666666666666666,5,0.33333333333333337,5,1,0.2
xerces,org.apache.xerces.dom.DeferredNode,0,0,0,0,0,0,0,0.0,0.0,0.0,0.141514779807,1.0,3,0.0,3,3,1.0
xerces,org.apache.xerces.dom.DeferredNotationImpl,16,9,20,0,0,0,11,0.5625,1.25,0.0,0.13102270680000005,0.6666666666666666,9,0.33333333333333337,9,2,0.2222222222222222
xerces,org.apache.xerces.dom.DeferredProcessingInstructionImpl,14,10,10,0,0,0,6,0.7142857142857143,0.7142857142857143,0.0,0.13765961517000003,0.6666666666666666,4,0.33333333333333337,4,1,0.25
xerces,org.apache.xerces.dom.DeferredTextImpl,15,9,9,0,0,0,10,0.6,0.6,0.0,0.16692477204900003,0.6666666666666666,5,0.33333333333333337,5,0,0.0
xerces,org.apache.xerces.dom.DocumentFragmentImpl,17,6,6,4,0,1,39,0.35294117647058826,0.35294117647058826,0.058823529411764705,0.20064012058199998,1.0,3,0.0,3,2,0.6666666666666666
xerces,org.apache.xerces.dom.DocumentImpl,142,285,243,37,16,68,666,2.007042253521127,1.7112676056338028,0.4788732394366197,0.12109544089000002,0.6666666666666666,5,0.33333333333333337,5,5,1.0
