stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage3,daytrader,extreme_balance,nmi_vs_reference,available,30,0.19085516833895069255,0.19215791796692160975,0.085798141063506999648,-0.23018191765910731017,-0.2288791680311363097,-0.2049860539430178874,-0.19785129505066109679,-0.18392607354865381231,-0.19785129505066109679
stage3,daytrader,extreme_balance,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage3,daytrader,extreme_semantic,mojofm_vs_reference,available,30,28.260869565217390686,27.971014492753624836,4.3478260869565197311,4.3478260869565303892,4.0579710144927627624,2.1739130434782616419,3.7681159420289898065,4.4202898550724647464,3.7681159420289849216
stage3,daytrader,extreme_semantic,pairwise_precision,available,30,0.15807437190495660095,0.16662114703673569505,0.036373906750028300872,-0.009413312824107400445,-0.00086653769232829995581,-0.0085728585579389997295,0.0069443557158836996882,0.011501185802557000598,0.0069443557158836996882
stage3,daytrader,extreme_semantic,pairwise_recall,available,30,0.22499999999999989453,0.28203703703703697503,0.13333333333333330373,0.03611111111111110078,0.093148148148148104952,0.05555555555555549696,0.096481481481481501383,0.10333333333333330484,0.096481481481481404239
stage3,daytrader,extreme_semantic,pairwise_f1,available,30,0.18836770344890990669,0.20667971813870020248,0.039938371007128402324,0.010822011542904699799,0.029134026232694999053,0.027029317042892998801,0.035980420709031998849,0.041232064021875500237,0.035980420709031901705
stage3,daytrader,extreme_semantic,ari_vs_reference,available,30,0.039969870943391397344,0.054357469012357002847,0.049841029546815102114,-0.0053881060697206000984,0.0089994919992449004531,-0.0042522663080937000632,0.01826308698279470108,0.024754112656790498714,0.018263086982794600466
stage3,daytrader,extreme_semantic,nmi_vs_reference,available,30,0.47460027724886921785,0.43541818875528159882,0.090010976688207400276,0.053563191250811097166,0.01438110275722350069,0.063453356381204001346,0.045408975737698802078,0.059334197239706100435,0.045408975737698802078
stage3,daytrader,extreme_semantic,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage3,daytrader,knee_native,mojofm_vs_reference,available,30,21.739130434782609314,22.608695652173921076,3.8043478260869640906,-2.1739130434782580892,-1.3043478260869521002,-2.1739130434782580892,-1.5942028985507255001,-0.94202898550724234461,-1.5942028985507228356
stage3,daytrader,knee_native,pairwise_precision,available,30,0.14503264626808340387,0.14754242385966909179,0.020497903882350201193,-0.022455038460980500381,-0.019945260869394798586,-0.018070892193528101388,-0.012134367461182800352,-0.0075775373745095003092,-0.012134367461182800352
stage3,daytrader,knee_native,pairwise_recall,available,30,0.28888888888888880624,0.28296296296296291617,0.091666666666666701824,0.099999999999999894529,0.094074074074074004459,0.080555555555555505287,0.09740740740740740089,0.10425925925925920434,0.097407407407407303745
stage3,daytrader,knee_native,pairwise_f1,available,30,0.18888369483919220659,0.19217832040650550951,0.038461623935051002243,0.011338002933186999699,0.014632628500500200266,0.0065700445835930997712,0.021479022976837198328,0.026730666289680800329,0.021479022976837198328
stage3,daytrader,knee_native,ari_vs_reference,available,30,0.020629384078706899247,0.02756672229732350099,0.034644228180409700202,-0.024728592934405099063,-0.01779125471578850079,-0.019274689164728100316,-0.0085276597322388007771,-0.0020366340582428999265,-0.0085276597322388007771
stage3,daytrader,knee_native,nmi_vs_reference,available,30,0.27394327819518421441,0.28953190334096401415,0.089443332552281804015,-0.14709380780287378832,-0.13150518265709398857,-0.11664718580232939782,-0.10047730967661870627,-0.086552088174611505056,-0.10047730967661870627
stage3,daytrader,knee_native,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage3,jpetstore,budgeted_balance_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_balance_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,budgeted_semantic_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
