class_id,row_index,input_hash
org.apache.xerces.dom.DOMStringListImpl,26,7ee6e5d0c2df89316c41fabebee9246dc82bad0d1783df0e7c4ab360e90f0a3b
org.apache.xerces.dom.DOMXSImplementationSourceImpl,27,7010bfde168e5bdd4acd1c8d2a5dddbab7a82364833a74d3044016447054e2e0
org.apache.xerces.dom.DeepNodeListImpl,28,40c6ef0e0acf3548ec7e3bdf0c40dfdffd09e6379d3b0784bd990ddc052db0b9
org.apache.xerces.dom.DeferredAttrImpl,29,adcd786d60e39065ef15077590602701c926789d71664e6157d3c94156987755
org.apache.xerces.dom.DeferredAttrNSImpl,30,bfff3ebe4cfc1a0f9b8065661417f251abfc3102abc3b09e3790c9e0c6885ffb
org.apache.xerces.dom.DeferredCDATASectionImpl,31,7f60c03c2d9d286290eaf988ae9ed097563bccfe2b2af879b594196ee59d84ca
org.apache.xerces.dom.DeferredCommentImpl,32,43579ff79f471b8e40aa91d0019b6078b6ed3a94864fc2b65a00276009b59127
org.apache.xerces.dom.DeferredDOMImplementationImpl,33,8af1fd02777b37b6d764503398d4d00af37d11e6c306cd199d36954237b5a1d2
org.apache.xerces.dom.DeferredDocumentImpl,34,cf59575966daf8e96bd1f79f971e47ecd07cc2de6488dadae044fbd1af83f576
org.apache.xerces.dom.DeferredDocumentImpl$IntVector,35,3ecb0ec65bb98c53f1cc4c8e85336ea5244005381293855babbf8f8ebd632d92
org.apache.xerces.dom.DeferredDocumentImpl$RefCount,36,3a4f11f84e7a7182d27df8e2511b1393d94dc713967ac23a56a73f9e3ca1c148
org.apache.xerces.dom.DeferredDocumentTypeImpl,37,1537efbb935cea67d932cded13fb359ffbac44360f7460a72db3c283f219093b
org.apache.xerces.dom.DeferredElementDefinitionImpl,38,19d9bb3cabe04ccaa6e966363d191e072457bab431a3ae67a050e935ca0a5315
org.apache.xerces.dom.DeferredElementImpl,39,9cb405aba07e0db677ccdfd8bc19d3cc5ff8e6b5cc7fc45cfc85aa04e054b52d
org.apache.xerces.dom.DeferredElementNSImpl,40,655a4262cb2c19681ae93508e72deb735e71d74a2fa440fcad594a67ea6a881b
org.apache.xerces.dom.DeferredEntityImpl,41,4930573b6c9f247593d3b1c803102ff2b1955c2d990a1c76ba6067fb4ef53d5e
org.apache.xerces.dom.DeferredEntityReferenceImpl,42,0dbdd1697ab8aa5cc511a216b55c3c46686e35713b2ee21565c7ed0d55d5e2ea
org.apache.xerces.dom.DeferredNode,43,7841f13e2075095f45961de6689ae0f367c55f684fd8270ac006f74198bf4eb9
org.apache.xerces.dom.DeferredNotationImpl,44,6fa0024bbfc0bb13f524016740f09dddbd408147b7b7c3154ed2de6938cc0de8
org.apache.xerces.dom.DeferredProcessingInstructionImpl,45,fd07635eef6762f23b2db45e369ab29d005d13096cb9cdcc473d5849a27391c2
org.apache.xerces.dom.DeferredTextImpl,46,7cfde649c116140348f4105a27f154a672a29164cae068021ff3f615956ebcab
org.apache.xerces.dom.DocumentFragmentImpl,47,ca8db4e9435e67c9a47d5ab26c9e08d7b106554349b4729627a83be12ac4100b
org.apache.xerces.dom.DocumentImpl,48,f7b2980dc61235d6e126faef3a7626b244d73c76a97b80f5aa85e3ce620bb086
org.apache.xerces.dom.DocumentImpl$EnclosingAttr,49,168c4453cb8b1104824909f8b75be70e714e3d4b47d38b081c797fa87f0048b7
org.apache.xerces.dom.DocumentImpl$LEntry,50,38cef8d6764a1b646c17df8e98c321777fc6458e436225151abf397dd2c51eb3
org.apache.xerces.dom.DocumentTypeImpl,51,579272542dfc437641b0627671f0e0289742317a39de65e0000d8d0f621a6ec4
org.apache.xerces.dom.ElementDefinitionImpl,52,818c2cdcdfc3fb379821826442594f6fe990240c143caa14796f7350538fbd84
org.apache.xerces.dom.ElementImpl,53,859ad9557fdf40ad5d6905c3a4a8406ead62b2efb8882ebf5bcce6fb7ec14bc0
org.apache.xerces.dom.ElementNSImpl,54,ef65eec20a236bba1c0bdf90c4f0626f3e4e9c3a1dbda072cb04a5cc0d804bfb
org.apache.xerces.dom.EntityImpl,55,16e1b86810b45ce3ae436c2a1bc8898afafe2bbce25becddd4f7efa997bdd5cd
